hoja_origen,columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20
LISTA DE RECURSOS A.P.U.,70171,Vibro ch44 arrastre y tractor,HO,EQUIPOS ,EQUIPO PESADO,143520,143520,143520,143520,143520,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70190,Compresor una pistola,DI,EQUIPOS ,EQUINORTE,625940,625940,625940,625940,625940,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70193,Guarderas de madera,DI,EQUIPOS ,EQUINORTE,321,321,321,321,321,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70203,Compactador neumático,HO,EQUIPOS ,PROMEDIO,202800,202800,202800,202800,202800,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70213,Vibrador electrico 110 volt,DI,EQUIPOS ,EQUINORTE,64260,64260,64260,64260,64260,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70214,Vibrocompactador  o rana 7hp,DI,EQUIPOS ,EQUINORTE,64260,64260,64260,64260,64260,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70271,Pisa Concreto o Burro Metalico,DI,EQUIPOS ,EQUISELLA,4640,4640,4640,4640,4640,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70501,Formaleta Muro W Form ,M2,EQUIPOS ,CONTRATISTAS,18600,18600,18600,18600,18600,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70503,Formaleta Western Form,M2,EQUIPOS ,FORMALETAS Y EQUIPOS,38200,38200,38200,38200,38200,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70506,Baño Portátil (2 limp. Semanal),MS,EQUIPOS ,PROMEDIO,1280000,1280000,1280000,1280000,1280000,,,,,,,,,,
SUBANÁLISIS BÁSICOS,,,,,,,,,,,,,,,,,,,,
SUBANÁLISIS BÁSICOS,,,,,,,,,,,,,,,,,,,,
SUBANÁLISIS BÁSICOS,,,,,,,,,,,,,,,,,,,,
